recipe_id,target_id,target_kind,die_id,recipe_type,variant,phases,total_time_s,access_time_s,data_time_s,local_execution_time_s,readback_time_s,peak_power_w,access_power_w,thermal_risk,serial_access_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,estimated_bits,notes,test_method,access_mechanism,test_endpoint,bist_type,phase_count,serial_time_s,fpp_time_s,thermal_load,max_fpp_lanes_required,lane_occupancy,phase_resources
F_core_die0_logic_lane1,core_die0_logic,core,die0,F,lane1,CONFIG_ACCESS_PATH|CONFIG_FPP|CONFIG_SCAN_OR_DWR_MODE|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.0030775200000000003,3.52e-06,0.003072,0.0,0.001536,1.92,0.12,1.9123199999999996,True,1,fpp_ch0,dwr_die0_upper,,614576,FPP optional parallel data transfer with serial configuration; warning: clock lane availability is not explicitly modeled,ATPG_SCAN,FPP_PARALLEL,internal_scan,,6,4.52e-06,0.003072,0.009808671744,1,0.003072,"[{""phase_name"":""CONFIG_ACCESS_PATH"",""duration_s"":1.92e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""CONFIG_FPP"",""duration_s"":1.28e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""CONFIG_SCAN_OR_DWR_MODE"",""duration_s"":1.32e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[""dwr_die0_upper""],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""FPP_SHIFT_IN"",""duration_s"":0.001536,""serial_required"":false,""fpp_lanes_required"":1,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[""dwr_die0_upper""],""route_resource"":"""",""power_w"":1.0,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""CAPTURE"",""duration_s"":1e-06,""serial_required"":false,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":1.92,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""FPP_SHIFT_OUT"",""duration_s"":0.001536,""serial_required"":false,""fpp_lanes_required"":1,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[""dwr_die0_upper""],""route_resource"":"""",""power_w"":1.0,""thermal_region"":""thermal_die0"",""notes"":""""}]"
F_core_die0_logic_lane2,core_die0_logic,core,die0,F,lane2,CONFIG_ACCESS_PATH|CONFIG_FPP|CONFIG_SCAN_OR_DWR_MODE|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.0015415199999999998,3.52e-06,0.001536,0.0,0.000768,1.92,0.12,1.9123199999999996,True,2,fpp_ch0,dwr_die0_upper,,614576,FPP optional parallel data transfer with serial configuration; warning: clock lane availability is not explicitly modeled,ATPG_SCAN,FPP_PARALLEL,internal_scan,,6,4.52e-06,0.001536,0.0049131325439999984,2,0.003072,"[{""phase_name"":""CONFIG_ACCESS_PATH"",""duration_s"":1.92e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""CONFIG_FPP"",""duration_s"":1.28e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""CONFIG_SCAN_OR_DWR_MODE"",""duration_s"":1.32e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[""dwr_die0_upper""],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""FPP_SHIFT_IN"",""duration_s"":0.000768,""serial_required"":false,""fpp_lanes_required"":2,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[""dwr_die0_upper""],""route_resource"":"""",""power_w"":1.0299999999999998,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""CAPTURE"",""duration_s"":1e-06,""serial_required"":false,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":1.92,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""FPP_SHIFT_OUT"",""duration_s"":0.000768,""serial_required"":false,""fpp_lanes_required"":2,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[""dwr_die0_upper""],""route_resource"":"""",""power_w"":1.0299999999999998,""thermal_region"":""thermal_die0"",""notes"":""""}]"
H_core_die0_logic_lane1,core_die0_logic,core,die0,H,lane1,CONFIG_ACCESS_PATH|CONFIG_FPP|CONFIG_SCAN_OR_DWR_MODE|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT|SERIAL_STATUS_READBACK,0.0030788000000000005,3.52e-06,0.003072,0.0,1.28e-06,1.92,0.12,1.9123199999999996,True,1,fpp_ch0,dwr_die0_upper,,614640,serial configuration with FPP bulk transfer and short serial status/signature readback; warning: clock lane availability is not explicitly modeled,ATPG_SCAN,HYBRID,internal_scan,,7,5.8e-06,0.003072,0.00981275136,1,0.003072,"[{""phase_name"":""CONFIG_ACCESS_PATH"",""duration_s"":1.92e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""CONFIG_FPP"",""duration_s"":1.28e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""CONFIG_SCAN_OR_DWR_MODE"",""duration_s"":1.32e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[""dwr_die0_upper""],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""FPP_SHIFT_IN"",""duration_s"":0.001536,""serial_required"":false,""fpp_lanes_required"":1,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[""dwr_die0_upper""],""route_resource"":"""",""power_w"":0.99,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""CAPTURE"",""duration_s"":1e-06,""serial_required"":false,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":1.92,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""FPP_SHIFT_OUT"",""duration_s"":0.001536,""serial_required"":false,""fpp_lanes_required"":1,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[""dwr_die0_upper""],""route_resource"":"""",""power_w"":0.99,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""SERIAL_STATUS_READBACK"",""duration_s"":1.28e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""}]"
H_core_die0_logic_lane2,core_die0_logic,core,die0,H,lane2,CONFIG_ACCESS_PATH|CONFIG_FPP|CONFIG_SCAN_OR_DWR_MODE|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT|SERIAL_STATUS_READBACK,0.0015427999999999998,3.52e-06,0.001536,0.0,1.28e-06,1.92,0.12,1.9123199999999996,True,2,fpp_ch0,dwr_die0_upper,,614640,serial configuration with FPP bulk transfer and short serial status/signature readback; warning: clock lane availability is not explicitly modeled,ATPG_SCAN,HYBRID,internal_scan,,7,5.8e-06,0.001536,0.004917212159999999,2,0.003072,"[{""phase_name"":""CONFIG_ACCESS_PATH"",""duration_s"":1.92e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""CONFIG_FPP"",""duration_s"":1.28e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""CONFIG_SCAN_OR_DWR_MODE"",""duration_s"":1.32e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[""dwr_die0_upper""],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""FPP_SHIFT_IN"",""duration_s"":0.000768,""serial_required"":false,""fpp_lanes_required"":2,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[""dwr_die0_upper""],""route_resource"":"""",""power_w"":1.01,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""CAPTURE"",""duration_s"":1e-06,""serial_required"":false,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":1.92,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""FPP_SHIFT_OUT"",""duration_s"":0.000768,""serial_required"":false,""fpp_lanes_required"":2,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[""dwr_die0_upper""],""route_resource"":"""",""power_w"":1.01,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""SERIAL_STATUS_READBACK"",""duration_s"":1.28e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""}]"
S_core_die0_logic_serial,core_die0_logic,core,die0,S,serial,CONFIG_ACCESS_PATH|CONFIG_SCAN_OR_DWR_MODE|SERIAL_SHIFT_IN|CAPTURE|SERIAL_SHIFT_OUT,0.012297359999999999,2.24e-06,0.01229312,0.0,0.006144,1.92,0.12,1.9123199999999996,True,0,,dwr_die0_upper,,614768,serial PTAP/STAP access to internal scan interface,ATPG_SCAN,PTAP_STAP_SERIAL,internal_scan,,5,0.01229636,0,0.03919414579199999,0,0.0,"[{""phase_name"":""CONFIG_ACCESS_PATH"",""duration_s"":1.92e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""CONFIG_SCAN_OR_DWR_MODE"",""duration_s"":1.32e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[""dwr_die0_upper""],""route_resource"":"""",""power_w"":0.12,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""SERIAL_SHIFT_IN"",""duration_s"":0.006144,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.97,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""CAPTURE"",""duration_s"":1e-06,""serial_required"":false,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":1.92,""thermal_region"":""thermal_die0"",""notes"":""""},{""phase_name"":""SERIAL_SHIFT_OUT"",""duration_s"":0.00614912,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[""dwr_die0_upper""],""route_resource"":"""",""power_w"":0.97,""thermal_region"":""thermal_die0"",""notes"":""""}]"
F_core_die1_cpu_lane1,core_die1_cpu,core,die1,F,lane1,CONFIG_ACCESS_PATH|CONFIG_FPP|CONFIG_SCAN_OR_DWR_MODE|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.00480712,5.12e-06,0.0048,0.0,0.0024,2.24,0.14,2.2498607971445574,True,1,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,960256,FPP optional parallel data transfer with serial configuration; warning: clock lane availability is not explicitly modeled,ATPG_SCAN,FPP_PARALLEL,internal_scan,,6,6.119999999999999e-06,0.0048,0.01979595465365854,1,0.0048,"[{""phase_name"":""CONFIG_ACCESS_PATH"",""duration_s"":3.2e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.14,""thermal_region"":""thermal_die1"",""notes"":""""},{""phase_name"":""CONFIG_FPP"",""duration_s"":1.28e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.14,""thermal_region"":""thermal_die1"",""notes"":""""},{""phase_name"":""CONFIG_SCAN_OR_DWR_MODE"",""duration_s"":1.64e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[""dwr_die1_lower"",""dwr_die1_upper""],""route_resource"":"""",""power_w"":0.14,""thermal_region"":""thermal_die1"",""notes"":""""},{""phase_name"":""FPP_SHIFT_IN"",""duration_s"":0.0024,""serial_required"":false,""fpp_lanes_required"":1,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[""dwr_die1_lower"",""dwr_die1_upper""],""route_resource"":"""",""power_w"":1.2200000000000002,""thermal_region"":""thermal_die1"",""notes"":""""},{""phase_name"":""CAPTURE"",""duration_s"":1e-06,""serial_required"":false,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":2.24,""thermal_region"":""thermal_die1"",""notes"":""""},{""phase_name"":""FPP_SHIFT_OUT"",""duration_s"":0.0024,""serial_required"":false,""fpp_lanes_required"":1,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[""dwr_die1_lower"",""dwr_die1_upper""],""route_resource"":"""",""power_w"":1.2200000000000002,""thermal_region"":""thermal_die1"",""notes"":""""}]"
F_core_die1_cpu_lane2,core_die1_cpu,core,die1,F,lane2,CONFIG_ACCESS_PATH|CONFIG_FPP|CONFIG_SCAN_OR_DWR_MODE|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.00240712,5.12e-06,0.0024,0.0,0.0012,2.24,0.14,2.2498607971445574,True,2,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,960256,FPP optional parallel data transfer with serial configuration; warning: clock lane availability is not explicitly modeled,ATPG_SCAN,FPP_PARALLEL,internal_scan,,6,6.119999999999999e-06,0.0024,0.009912637580487806,2,0.0048,"[{""phase_name"":""CONFIG_ACCESS_PATH"",""duration_s"":3.2e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.14,""thermal_region"":""thermal_die1"",""notes"":""""},{""phase_name"":""CONFIG_FPP"",""duration_s"":1.28e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[],""route_resource"":"""",""power_w"":0.14,""thermal_region"":""thermal_die1"",""notes"":""""},{""phase_name"":""CONFIG_SCAN_OR_DWR_MODE"",""duration_s"":1.64e-06,""serial_required"":true,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[""dwr_die1_lower"",""dwr_die1_upper""],""route_resource"":"""",""power_w"":0.14,""thermal_region"":""thermal_die1"",""notes"":""""},{""phase_name"":""FPP_SHIFT_IN"",""duration_s"":0.0012,""serial_required"":false,""fpp_lanes_required"":2,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[""dwr_die1_lower"",""dwr_die1_upper""],""route_resource"":"""",""power_w"":1.25,""thermal_region"":""thermal_die1"",""notes"":""""},{""phase_name"":""CAPTURE"",""duration_s"":1e-06,""serial_required"":false,""fpp_lanes_required"":0,""fpp_channel"":"""",""dwr_segments"":[],""route_resource"":"""",""power_w"":2.24,""thermal_region"":""thermal_die1"",""notes"":""""},{""phase_name"":""FPP_SHIFT_OUT"",""duration_s"":0.0012,""serial_required"":false,""fpp_lanes_required"":2,""fpp_channel"":""fpp_ch0"",""dwr_segments"":[""dwr_die1_lower"",""dwr_die1_upper""],""route_resource"":"""",""power_w"":1.25,""thermal_region"":""thermal_die1"",""notes"":""""}]"
