recipe_id,target_id,target_kind,die_id,recipe_type,variant,phases,total_time_s,access_time_s,data_time_s,local_execution_time_s,readback_time_s,serial_resource_time_s,peak_power_w,access_power_w,thermal_risk,serial_access_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,estimated_bits,notes
F_core_die0_logic_lane1,core_die0_logic,core,die0,F,lane1,CONFIG_ACCESS_PATH|CONFIG_FPP|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.0030775200000000003,3.52e-06,0.003072,0.0,0.001536,3.52e-06,1.92,0.12,2.6111999999999997,True,1,fpp_ch0,dwr_die0_upper,,614576,FPP data transfer with serial configuration
F_core_die0_logic_lane2,core_die0_logic,core,die0,F,lane2,CONFIG_ACCESS_PATH|CONFIG_FPP|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.0015415199999999998,3.52e-06,0.001536,0.0,0.000768,3.52e-06,1.92,0.12,2.6111999999999997,True,2,fpp_ch0,dwr_die0_upper,,614576,FPP data transfer with serial configuration
S_core_die0_logic_serial,core_die0_logic,core,die0,S,serial,CONFIG_ACCESS_PATH|CONFIG_DWR_MODE|SERIAL_SHIFT_IN|CAPTURE|SERIAL_SHIFT_OUT,0.012297359999999999,2.24e-06,0.01229312,0.0,0.006144,0.01229536,1.92,0.12,2.6111999999999997,True,0,,dwr_die0_upper,,614768,serial PTAP/STAP/DWR access
F_core_die1_cpu_lane1,core_die1_cpu,core,die1,F,lane1,CONFIG_ACCESS_PATH|CONFIG_FPP|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.00480712,5.12e-06,0.0048,0.0,0.0024,5.12e-06,2.24,0.14,3.656490184414041,True,1,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,960256,FPP data transfer with serial configuration
F_core_die1_cpu_lane2,core_die1_cpu,core,die1,F,lane2,CONFIG_ACCESS_PATH|CONFIG_FPP|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.00240712,5.12e-06,0.0024,0.0,0.0012,5.12e-06,2.24,0.14,3.656490184414041,True,2,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,960256,FPP data transfer with serial configuration
F_core_die1_cpu_lane4,core_die1_cpu,core,die1,F,lane4,CONFIG_ACCESS_PATH|CONFIG_FPP|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.0012071199999999997,5.12e-06,0.0012,0.0,0.0006,5.12e-06,2.24,0.14,3.656490184414041,True,4,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,960256,FPP data transfer with serial configuration
S_core_die1_cpu_serial,core_die1_cpu,core,die1,S,serial,CONFIG_ACCESS_PATH|CONFIG_DWR_MODE|SERIAL_SHIFT_IN|CAPTURE|SERIAL_SHIFT_OUT,0.019216720000000003,3.84e-06,0.01921088,0.0,0.0096,0.01921472,2.24,0.14,3.656490184414041,True,0,,dwr_die1_lower;dwr_die1_upper,,960736,serial PTAP/STAP/DWR access
B_core_die3_accel_local_bist,core_die3_accel,core,die3,B,local_bist,CONFIG_BIST|LOCAL_BIST_RUN|READ_BIST_RESULT,0.007517919999999999,8.96e-06,0.0,0.0075,8.96e-06,1.792e-05,1.96,0.16,1.0976,True,0,,dwr_die3_lower,,896,local BIST releases PTAP during execution phase
F_core_die3_accel_lane1,core_die3_accel,core,die3,F,lane1,CONFIG_ACCESS_PATH|CONFIG_FPP|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.00692136,7.36e-06,0.006912,0.0,0.003456,7.36e-06,2.7600000000000002,0.16,2.176457142857143,True,1,fpp_ch0,dwr_die3_lower,,1382768,FPP data transfer with serial configuration
F_core_die3_accel_lane2,core_die3_accel,core,die3,F,lane2,CONFIG_ACCESS_PATH|CONFIG_FPP|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.0034653600000000002,7.36e-06,0.003456,0.0,0.001728,7.36e-06,2.7600000000000002,0.16,2.176457142857143,True,2,fpp_ch0,dwr_die3_lower,,1382768,FPP data transfer with serial configuration
F_core_die3_accel_lane4,core_die3_accel,core,die3,F,lane4,CONFIG_ACCESS_PATH|CONFIG_FPP|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.0017373599999999999,7.36e-06,0.001728,0.0,0.000864,7.36e-06,2.7600000000000002,0.16,2.176457142857143,True,4,fpp_ch0,dwr_die3_lower,,1382768,FPP data transfer with serial configuration
S_sensor_die1_temp_serial,sensor_die1_temp,instrument,die1,S,serial,CONFIG_ACCESS_PATH|ACCESS_INSTRUMENT|READ_INSTRUMENT,4.16e-06,4.16e-06,0.0,0.0,6.4e-07,4.16e-06,0.05,0.05,0.07469512195121952,True,0,,,,208,serial instrument access
I_link_die0_die1_serial_extest,link_die0_die1,interconnect,die1,I,serial_extest,CONFIG_ACCESS_PATH|CONFIG_DWR_MODE|DWR_SHIFT_IN|DWR_CAPTURE|DWR_SHIFT_OUT,0.00017991999999999997,3.84e-06,0.00017408,0.0,8.192e-05,0.00017791999999999998,0.45,0.0,0.6050304878048782,True,0,,dwr_die0_upper;dwr_die1_lower,mbump_die0_die1,8896,DWR EXTEST interconnect recipe
I_link_die1_die2_serial_extest,link_die1_die2,interconnect,die2,I,serial_extest,CONFIG_ACCESS_PATH|CONFIG_DWR_MODE|DWR_SHIFT_IN|DWR_CAPTURE|DWR_SHIFT_OUT,0.00018248,5.12e-06,0.00017536,0.0,8.192e-05,0.00018048,0.5,0.0,0.6929347826086956,True,0,,dwr_die1_upper;dwr_die2_lower,tsv_die1_die2,9024,DWR EXTEST interconnect recipe
I_link_die2_die3_serial_extest,link_die2_die3,interconnect,die3,I,serial_extest,CONFIG_ACCESS_PATH|CONFIG_DWR_MODE|DWR_SHIFT_IN|DWR_CAPTURE|DWR_SHIFT_OUT,0.00018503999999999998,6.4e-06,0.00017664,0.0,8.192e-05,0.00018303999999999998,0.55,0.0,0.5185714285714287,True,0,,dwr_die2_upper;dwr_die3_lower,tsv_die2_die3,9152,DWR EXTEST interconnect recipe
B_mem_die2_sram_local_bist,mem_die2_sram,memory,die2,B,local_bist,CONFIG_BIST|LOCAL_BIST_RUN|READ_BIST_RESULT,0.00501408,7.04e-06,0.0,0.005,7.04e-06,1.408e-05,1.4000000000000001,0.1,1.086521739130435,True,0,,dwr_die2_lower;dwr_die2_upper,,704,local BIST releases PTAP during execution phase
F_mem_die2_sram_lane1,mem_die2_sram,memory,die2,F,lane1,CONFIG_ACCESS_PATH|CONFIG_FPP|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.0010323999999999997,6.4e-06,0.001024,0.0,0.000512,6.4e-06,1.7000000000000002,0.1,1.6020652173913044,True,1,fpp_ch0,dwr_die2_lower;dwr_die2_upper,,205120,FPP data transfer with serial configuration
F_mem_die2_sram_lane2,mem_die2_sram,memory,die2,F,lane2,CONFIG_ACCESS_PATH|CONFIG_FPP|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.0005204000000000001,6.4e-06,0.000512,0.0,0.000256,6.4e-06,1.7000000000000002,0.1,1.6020652173913044,True,2,fpp_ch0,dwr_die2_lower;dwr_die2_upper,,205120,FPP data transfer with serial configuration
F_mem_die2_sram_lane4,mem_die2_sram,memory,die2,F,lane4,CONFIG_ACCESS_PATH|CONFIG_FPP|FPP_SHIFT_IN|CAPTURE|FPP_SHIFT_OUT,0.00026440000000000003,6.4e-06,0.000256,0.0,0.000128,6.4e-06,1.7000000000000002,0.1,1.6020652173913044,True,4,fpp_ch0,dwr_die2_lower;dwr_die2_upper,,205120,FPP data transfer with serial configuration
S_mem_die2_sram_serial,mem_die2_sram,memory,die2,S,serial,CONFIG_ACCESS_PATH|CONFIG_DWR_MODE|SERIAL_SHIFT_IN|CAPTURE|SERIAL_SHIFT_OUT,0.00411528,5.12e-06,0.00410816,0.0,0.002048,0.0041132799999999995,1.7000000000000002,0.1,1.6020652173913044,True,0,,dwr_die2_lower;dwr_die2_upper,,205664,serial PTAP/STAP/DWR access
